id,placeId,googlePlaceId,descriptorType,targetPlaceId,targetDisplayName,spatialRelationship,straightLineDistanceMeters,travelDistanceMeters,containment
3681,1834,ChIJnTrje59V-YcRnfrjkC3YmgM,area,ChIJB4D0ogtV-YcReuX6eYmrzVs,Washburn,,,,WITHIN
3682,1835,ChIJmQmSXGOj_ocR3lyzobTzV0w,area,ChIJmQmSXGOj_ocRUMXrzsNmi34,La Crosse River State Trail,,,,OUTSKIRTS
3683,1836,ChIJD6MBzo1W-YcRHCPWwb5gF-E,landmark,ChIJi4d-zo1W-YcRKOOuAEtgYAU,La Crescent Public Library,DOWN_THE_ROAD,39.54495,26.762478,
3684,1836,ChIJD6MBzo1W-YcRHCPWwb5gF-E,landmark,ChIJbbGVt41W-YcRoiUbLriBKmE,Merchants Bank,ACROSS_THE_ROAD,36.3926,3.988945,
3685,1836,ChIJD6MBzo1W-YcRHCPWwb5gF-E,landmark,ChIJkYy61I1W-YcRTaOAr0Vrvos,Quillin's Foods,AROUND_THE_CORNER,37.579952,67.624176,
3686,1836,ChIJD6MBzo1W-YcRHCPWwb5gF-E,landmark,ChIJD6MBzo1W-YcR9h3ia824hIU,La Crescent Motor Vehicle Department,BESIDE,25.827932,0.0010757446,
3687,1836,ChIJD6MBzo1W-YcRHCPWwb5gF-E,landmark,ChIJEUUaHI5W-YcRV-aMxJkJ3pM,Bauer's Market & Garden Center,,238.00528,369.43704,
3688,1837,ChIJo0v1S_RQ-YcRvDGfZ9kI7-o,landmark,ChIJYWCWuvVQ-YcRjYjpwlvSALQ,Pete's Inn,AROUND_THE_CORNER,100.5936,130.88177,
3689,1837,ChIJo0v1S_RQ-YcRvDGfZ9kI7-o,landmark,ChIJjyRoyvVQ-YcRM3I5VbFGLOg,Dresbach Auto,,47.87247,148.29474,
3690,1837,ChIJo0v1S_RQ-YcRvDGfZ9kI7-o,landmark,ChIJsTJxvPZQ-YcRrz02QwSOdA8,Boat Ramp,,226.8864,321.1326,
3691,1838,ChIJUSJi9Llo_ocRWGJs0Cc040Q,landmark,ChIJnbgLOaVo_ocRHwlEwqE0f7o,Whitetail Crossing,BESIDE,24.204687,107.865265,
3692,1840,ChIJGZl0EOqqAIgROEffl2mtj6U,landmark,ChIJvT93bL6qAIgRn2apwUtV2fc,Woodside Old Towne Hotel,,217.89532,164.39034,
3693,1841,ChIJxZdE_dRDB4gR96JrtkhpfXE,landmark,ChIJk-acatZDB4gRVlwhuFafjks,Whitetail Crossing & Smokeshop,,152.73875,217.1774,
3694,1841,ChIJxZdE_dRDB4gR96JrtkhpfXE,landmark,ChIJsQ5UPNZDB4gRe9EC-GPDP9A,Copper Oak Steakhouse,,67.0415,94.69762,
3695,1841,ChIJxZdE_dRDB4gR96JrtkhpfXE,landmark,ChIJMdMsrrtBB4gRQHT-_e_KVsY,Jose's Mexican Restaurant - In Ho-Chunk Wisconsin Dells,,126.31098,94.69762,
3696,1841,ChIJxZdE_dRDB4gR96JrtkhpfXE,area,ChIJDwju3tdDB4gRf8CLR34Zca4,Parking lot,,,,OUTSKIRTS
3697,1842,ChIJNXoZhuJFB4gRabj4y3acBns,landmark,ChIJ7-P6OQhGB4gR0ZSBgjHSyVE,Maurer's Market IGA - Wisconsin Dells WI,,107.52227,129.44048,
3698,1842,ChIJNXoZhuJFB4gRabj4y3acBns,landmark,ChIJ4YLhwOJFB4gRyUhSFafdIsk,"Wisconsin Dells, Wisconsin",DOWN_THE_ROAD,149.45547,124.21492,
3699,1842,ChIJNXoZhuJFB4gRabj4y3acBns,landmark,ChIJb7VyqwhGB4gR2QyHuw5jSqw,Wisconsin Dells Visitor & Convention Bureau,,73.85442,131.45555,
3700,1842,ChIJNXoZhuJFB4gRabj4y3acBns,landmark,ChIJAZRbqwlGB4gROJawQTmPkLg,Saint Cecilia Catholic Church Roman Rite,,218.16707,222.28416,
3701,1842,ChIJNXoZhuJFB4gRabj4y3acBns,landmark,ChIJ3dH-KT1GB4gRfTcA9cnqQfc,Ripley's Believe It Or Not,,227.93857,227.74918,
3702,1842,ChIJNXoZhuJFB4gRabj4y3acBns,area,ChIJ1TVB5uJFB4gR9QO06LVkIxM,"Wisconsin Dells, Wisconsin",,,,NEAR
3703,1843,ChIJAX8GDzREB4gRidAHDadVVQ0,landmark,ChIJC0Pc_jVEB4gROtsG6DagWUE,Subway,,145.85332,168.14285,
3704,1843,ChIJAX8GDzREB4gRidAHDadVVQ0,landmark,ChIJIYFDuu9FB4gREr4OCMOCpOE,SpringHill Suites by Marriott Wisconsin Dells,,58.818905,151.36598,
3705,1843,ChIJAX8GDzREB4gRidAHDadVVQ0,landmark,ChIJC0Pc_jVEB4gRrWiPckZfBac,RadioShack,,148.7172,200.71268,
3706,1843,ChIJAX8GDzREB4gRidAHDadVVQ0,landmark,ChIJN3TR_DVEB4gRpqPPBmKImlA,Mt. Olympus - Building 25,DOWN_THE_ROAD,195.4003,175.97644,
3707,1843,ChIJAX8GDzREB4gRidAHDadVVQ0,landmark,ChIJOTpssMpFB4gRF0bo3jBRoWs,The Del-Bar,,429.41626,465.75345,
3708,1843,ChIJAX8GDzREB4gRidAHDadVVQ0,area,ChIJAQAAwNRFB4gRxZuWAqTrmMM,Perlstein Resort and Conference Center,,,,WITHIN
3709,1844,ChIJhyBZ1rRIB4gRC8BVKjWOGRs,area,ChIJhyBZ1rRIB4gRypEJP4aE3RU,Woodside Wisconsin Dells Center Dome,,,,OUTSKIRTS
