id,parkId,campgroundId,credit,title,altText,caption,url
456,,143,NPS,Cloverleaf Campground 2,A tent campsite in the pines adjacent to the lake. A canoe moves past beyond.,Lake view campsite at Cloverleaf Campground.,https://www.nps.gov/common/uploads/structured_data/EB0185C6-9B7B-C4AF-7FF40050A35DB008.jpg
457,,144,NPS Photo / Wil Marischen,Clubhouse Campsites 2 and 3,Two campsites with a mix of dirt and grass. Trees provide shade from above.,Clubhouse Campground provides simple sites with shade trees overhead.,https://www.nps.gov/common/uploads/structured_data/EA160F94-B1CF-59E8-35DDE2FCA2F32674.jpg
458,,144,NPS Photo / Wil Marischen,Clubhouse Campground Gravel Bar,A grassy campsite is only yards away from the river's edge.,Campsites at Clubhouse are only a short walk from the river's edge.,https://www.nps.gov/common/uploads/structured_data/EA319727-BD2C-4ABD-E58A9EF614604468.jpg
459,,144,NPS Photo / Wil Marischen,Clubhouse Campsites 4 and 5,Two campsites along a woodland edge.,"Due to the campground's location, these sites have more sun in the evening.",https://www.nps.gov/common/uploads/structured_data/EA6C4904-B59B-2B2E-3DBBFCCB0783C4A1.jpg
460,,144,NPS Photo / Wil Marischen,Clubhouse Bluff in Early Fall,"A view from atop a mountain, overlooking the Current River.",Clubhouse Bluff offers a spectacular view of the Current River and its watershed.,https://www.nps.gov/common/uploads/structured_data/E9FDB598-0B04-9DC9-A60C5951998389F6.jpg
461,,144,NPS Photo / Wil Marischen,Clubhouse Campsite 6,A grassy campsite right along the river's edge.,The Current River is the perfect backdrop to a quiet night of camping.,https://www.nps.gov/common/uploads/structured_data/EAE875FD-A4D5-2CF8-68B6DF1CB89A5CC8.jpg
462,,145,NPS Photo,"Coast Campground from the Coast Trail. June 18, 2022.",Looking down at a few campsites in a small grassy seaside valley surrounded by shrub-covered hills.,"Looking west at Coast Campground, Drakes, Bay, and the Point Reyes Headlands from the Coast Trail.",https://www.nps.gov/common/uploads/structured_data/E5F43C80-9013-A688-5961320D21447B05.jpg
463,,145,NPS Photo,"Coast Campsite 1. August 20, 2022.",A campsite containing a picnic table and a food storage locker surrounded by shrubs.,Coast Campsite 1,https://www.nps.gov/common/uploads/structured_data/C6302402-CAFC-5858-5A742FF869BDA555.jpg
464,,145,NPS Photo,"Coast Campsite 2. August 20, 2022.",A campsite containing a picnic table and a food storage locker surrounded by shrubs.,Coast Campsite 2,https://www.nps.gov/common/uploads/structured_data/C635216C-E9C4-0E15-D6831D87DF3EC49A.jpg
465,,145,NPS Photo,"Coast Campsite 3. August 20, 2022.",A campsite containing a picnic table and a food storage locker surrounded by shrubs.,Coast Campsite 3,https://www.nps.gov/common/uploads/structured_data/C63B8BA3-065E-0DD7-69559C4996801675.jpg
466,,145,NPS Photo,"Coast Campsite 4. August 20, 2022.","A campsite containing a tent, a picnic table, and a food storage locker surrounded by shrubs.",Coast Campsite 4,https://www.nps.gov/common/uploads/structured_data/C6409325-D519-CC8F-EF02402B62199C27.jpg
467,,145,NPS Photo,"Coast Campsite 5. August 20, 2022.",A campsite containing a picnic table and a food storage locker surrounded by shrubs.,Coast Campsite 5,https://www.nps.gov/common/uploads/structured_data/C6453D72-FDA5-52C9-453CB2D51AF84582.jpg
468,,145,NPS Photo,"Coast Campsite 6. August 20, 2022.",A campsite containing a picnic table and a food storage locker surrounded by shrubs.,Coast Campsite 6,https://www.nps.gov/common/uploads/structured_data/C64B6225-E4B6-000D-B3AE200DFBB63196.jpg
469,,145,NPS Photo,"Coast Campsite 7. August 20, 2022.","A campsite containing two small tents, a picnic table and a food storage locker.",Coast Campsite 7,https://www.nps.gov/common/uploads/structured_data/C658AC64-0B73-8D49-6C877A8567A1D2ED.jpg
