0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
"NAME OF STATE PARK 
OR STATE RECREATION 
AREA (SRA)","GRID LOCATION
D5",DATE OF VISIT,CAMPING,"","","",SITE TYPES,"","","","","","","","",BATHROOM FACILITIES,"","","","",LODGING,"","",TRAILS,"","",WATER RECREATION,"","","",OTHER AMENITIES,"","","",""
"","","",WINTER,SPRING,SUMMER,FALL,DRIVE‑IN,"ACCESSIBLE 
DRIVE‑IN","MAX. RV LENGTH 
(FEET)",PULL‑THROUGH,30‑AMP HOOKUP,50‑AMP HOOKUP,HORSE,BACKPACK,GROUP CAMP,SHOWERS,"ACCESSIBLE 
SHOWER",FLUSH TOILETS,"ACCESSIBLE FLUSH 
TOILET",RV DUMP STATION,CAMPER CABINS,"ACCESSIBLE 
CAMPER CABIN",OTHER LODGING,HIKING,PAVED,"GROOMED 
CROSS‑COUNTRY 
SKI",SWIMMING BEACH,FISHING PIER,"ACCESSIBLE 
FISHING PIER",BOAT RENTAL,SNOWSHOE RENTAL,PICNIC SHELTER,"ACCESSIBLE PICNIC 
SHELTER",NATURE PROGRAMS,"ACCESSIBLE 
TRACK CHAIR"
La Salle Lake SRA,B3,"","",•,•,•,•,•,60,"",•,•,"","","",•,"",•,"","","","",•,•,"","","",•,•,"","",•,•,"",""
Lac qui Parle,A5,"","",•,•,•,•,•,60,•,•,•,"","",•,•,•,•,•,•,•,•,"",•,"","","","","","","",•,"","",""
Lake Bemidji,B2,"",•,•,•,•,•,•,70,•,•,"","","",•,•,•,•,•,•,•,•,"",•,•,•,•,•,•,•,•,•,"",•,•
Lake Bronson,A1,"","",•,•,•,•,"",60,•,•,•,•,•,•,•,•,•,•,•,"","","",•,•,•,•,•,•,•,•,•,•,"",•
Lake Carlos,B4,"",•,•,•,•,•,•,50,"",•,•,•,"",•,•,•,•,•,•,•,•,•,•,•,•,•,"","","",•,•,"",•,•
Lake Louise,D6,"","","",•,"",•,•,"","",•,"",•,"",•,•,•,•,•,•,"","","",•,•,"",•,"","","","",•,•,"",""
Lake Maria,C5,"",•,•,•,•,"","","","","","","",•,•,"","",•,"","",•,"","",•,"",•,"",•,"","",•,•,"","",""
Lake Shetek,A6,"",•,•,•,•,•,•,70,•,•,•,"","",•,•,•,•,•,•,•,•,"",•,•,"",•,•,•,•,•,•,•,"",•
Lake Vermilion-Soudan Underground Mine,D2,"","",•,•,•,•,•,92,•,•,•,"",•,•,•,•,•,•,•,•,•,•,•,•,"","",•,•,"","",•,•,•,•
McCarthy Beach,D2,"","",•,•,•,•,•,45,"",•,•,"","",•,•,•,•,•,•,"","","",•,"",•,•,•,"",•,"",•,"","",•
Maplewood,A3,"",•,•,•,•,•,•,50,•,•,•,•,•,•,•,•,•,•,•,•,•,"",•,•,•,•,•,•,•,•,•,•,•,•
Mille Lacs Kathio,C4,"",•,•,•,•,•,•,60,•,•,"",•,•,•,•,•,•,•,•,•,•,"",•,"",•,•,"","",•,•,•,"",•,•
Minneopa,C6,"",•,•,•,•,•,"",60,"",•,"","","",•,•,"","","",•,•,•,"",•,•,"","","","","",•,•,•,•,""
Minnesota Valley SRA,C5,"","","",•,"","","","","","","",•,"","","","","","","","","","",•,"","","","","","","",•,"","",""
Monson Lake,B5,"","","",•,"",•,"",70,"",•,•,"","","",•,"",•,"","","","","",•,"","","",•,"","","",•,•,"",""
Moose Lake,D3,"","",•,•,•,•,•,60,"",•,"","","",•,•,•,•,•,"","","","",•,•,"",•,•,•,•,"","","","",•
Myre-Big Island,C6,"",•,•,•,•,•,•,60,"",•,"","",•,•,•,•,•,•,•,•,•,•,•,•,"","",•,•,•,•,•,•,"",•
Nerstrand Big Woods,D5,"","",•,•,•,•,•,60,•,•,"","","","",•,•,•,•,•,"","","",•,"","","","","","",•,•,"",•,""
Old Mill,A2,"","",•,•,•,•,"",55,"",•,"","","","",•,"",•,"","","","","",•,"","",•,"","","","",•,"","",""
Red River SRA,A2,"","",•,•,•,•,•,110,•,•,•,"","",•,•,•,•,•,"","","","",•,•,"","",•,"","","",•,•,•,""
Rice Lake,D6,"","",•,•,•,•,•,55,"",•,•,"","",•,•,•,•,•,"","","","",•,"","","",•,"","","",•,•,•,•
St. Croix Islands SRA,D5,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
St. Croix,D4,"",•,•,•,•,•,"",55,"",•,•,•,•,•,•,•,•,•,•,"","",•,•,•,•,•,"","","",•,•,"",•,""
Sakatah Lake,C6,"","",•,•,•,•,•,55,"",•,"","","",•,•,•,•,•,•,•,•,•,•,•,"","",•,•,"","","","","",""
Savanna Portage,D3,"","",•,•,•,•,•,58,•,•,"","",•,•,•,•,•,•,•,•,•,•,•,"",•,•,•,•,•,•,•,"",•,""
Scenic,C2,"","",•,•,•,•,•,80,•,•,•,"",•,•,•,•,•,•,•,"","",•,•,"","",•,•,•,•,"",•,"","",""
Schoolcraft,C3,"","",•,•,•,•,•,40,"","","","","",•,"","","","","","","","",•,"","","","","","","","","","",""
Sibley,B5,"","",•,•,•,•,•,100,•,•,•,•,"",•,•,•,•,•,•,•,•,•,•,•,•,•,•,•,"",•,•,•,•,""
Split Rock Creek,A6,"","",•,•,•,•,•,55,"",•,"","","","",•,•,•,•,•,"","","",•,"","",•,•,•,•,"",•,•,"",""
Split Rock Lighthouse,E3,"",•,•,•,•,•,•,110,•,•,•,"",•,"",•,•,•,•,"","","",•,•,•,"","","","","",•,•,•,"",•
Temperance River,E2,"","",•,•,•,•,"",60,•,•,"","","","",•,•,•,•,"","","","",•,•,"","","","","","","","","",""
Tettegouche,E3,"",•,•,•,•,•,"",60,"",•,•,"","",•,•,•,•,•,"","","",•,•,"",•,"","","",•,•,•,•,•,""
Whitewater,D6,"",•,•,•,•,•,•,60,•,•,•,"","",•,•,•,•,•,•,•,•,•,•,"","",•,•,•,"",•,•,•,•,""
Wild River,D4,"",•,•,•,•,•,•,60,"",•,•,•,•,•,•,•,•,•,•,•,•,•,•,•,•,"","","","","",•,•,•,""
William O’Brien,D5,"",•,•,•,•,•,•,60,"",•,•,"","",•,•,•,•,•,•,•,•,"",•,•,•,•,•,•,"",•,•,•,•,•
Zippel Bay,B1,"","",•,•,•,•,•,50,•,"","","","",•,•,•,"","",•,"","","",•,"",•,•,•,•,"","",•,•,"",•
